id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip
3001314971,ig6dw.46r3z,rent,2021-09-30T14:31:08.316264,,4,520,,,,19,,Blumenbergplatz 5,St. Gallen,9000
3001087436,146.1.10.800384.d8ee1213-8011-11eb-8e73-005056bdbc06,rent,2021-09-30T14:31:08.376172,,3,550,,,,,,Linsebühlstrasse 18,St. Gallen,9000
3001237053,152801.01.00402,rent,2021-09-30T14:31:08.396096,,4,530,,,,28,1962,Vonwilstr. 15,St. Gallen,9000
3001051234,10738.10738.1012,rent,2021-09-30T14:31:08.452852,,1,600,,,,,,Brauerstrasse 3,St. Gallen,9000
3000763958,StGallen,rent,2021-09-30T14:31:08.540689,,,550,,,,,,Schützengasse,St. Gallen,9000
3001381704,51219.01.6001,rent,2021-09-30T14:31:08.595315,,5,100,,,,,1905,Burggraben 26,St. Gallen,9000
3001292565,Linsen68.16841,rent,2021-09-30T14:31:08.617437,,1,475,,,,,,Linsenbühlstrasse 68,St. Gallen,9000
3001209766,050-07.07.830758.b9c75053-b227-11eb-820b-005056bdbc06,rent,2021-09-30T14:31:08.636397,,4,1850,,,,101,2000,Oberer Graben 37,St. Gallen,9000
3001356440,Z213WHG4OG,rent,2021-09-30T14:31:08.666684,,4,390,,,,45,,Zürcherstr. 213,St. Gallen,9000
3001208734,040-05.07.857503.0691d98a-e607-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:08.686526,,2,1600,,,,90,1977,Schorenstrasse 74,St. Gallen,9000
3001334101,1ik89.wbz1b,rent,2021-09-30T14:31:08.709656,,1,2045,195,1850,,98,2016,Rappensteinstrasse 23,St. Gallen,9000
3001303010,2060-3011.872880.7c513451-0718-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:08.737279,,1,1630,,,,122,,Dietlistrasse 6,St. Gallen,9000
3001279823,45792169,rent,2021-09-30T14:31:08.787412,,,1490,,,,80,,Solitüdenstrasse 1,St. Gallen,9012
3000888275,ZX429008,rent,2021-09-30T14:31:09.044936,,2,1240,,,,71,,Langgasse 70,St. Gallen,9008
3001166252,1026.1.1005,rent,2021-09-30T14:31:09.058203,,GF,1590,210,1380,,82,1965,Obere Berneggstrasse 79,St. Gallen,9012
3001079915,572c3.yfjkq,rent,2021-09-30T14:31:09.071396,,GF,1390,200,1190,,41,1910,Kräzernstrasse 30,St. Gallen,9015
3001279734,TG1811.TG1811.TG1811,rent,2021-09-30T14:31:09.145266,,4,1040,,,,97,,Kräzernstrasse 10,St. Gallen,9014
3001303220,10104.1.1032,rent,2021-09-30T14:31:09.173487,,3,1190,,,,48,,Rickenstrasse 4,St. Gallen,9014
3001271248,4 Zi-Wg 1. OG links 30d 1,rent,2021-09-30T14:31:09.206715,,1,1120,,,,,,Martinsbruggstrasse 30d,St. Gallen,9016
3001031567,6170.02.0019,rent,2021-09-30T14:31:09.222070,,2,1390,200,1190,,76,1968,Zilstrasse 4a,St. Gallen,9016
3001369751,20120.4.4002,rent,2021-09-30T14:31:09.324295,,GF,1290,150,1140,,61,1981,Tablatstrasse 10c,St. Gallen,9016
3001315026,Achslenweg 17 - 4 Zi-Wg 1. OG links 2,rent,2021-09-30T14:31:09.336698,,1,1298,,,,,,Achslenweg 17,St. Gallen,9016
3001042300,7160.01.0009,rent,2021-09-30T14:31:09.355606,,2,1290,170,1120,,64,1969,Zilstrasse 14,St. Gallen,9016
3001335808,1069.1006.878261.26fae24f-114a-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:09.399222,,2,1190,220,970,,75,1920,Rorschacher Strasse 229,St. Gallen,9016
3001175902,16510.37.0202,rent,2021-09-30T14:31:09.472443,,2,1070,,,,,,Brauerstrasse 37,St. Gallen,9016
3001271250,A95ZL3R_22U3Y5D,rent,2021-09-30T14:31:09.531289,,3,990,,,,,,Martinsbruggstrasse 30b,St. Gallen,9016
3001253399,10263.02.0102,rent,2021-09-30T14:31:09.546135,,1,960,,,,53,1962,Burenbüchelstrasse 18a,St. Gallen,9016
3001253435,901601.1.20071061,rent,2021-09-30T14:31:09.571849,,6,1070,,,,,1966,Rehetobelstrasse 71,St. Gallen,9016
3001208239,857415.66bc47ff-e588-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:09.587745,,3,990,,,,,,Martinsbruggstrasse 45,St. Gallen,9016
3001305225,16482.01.0001,rent,2021-09-30T14:31:09.611991,,GF,650,,,,30,1966,Hafnerstrasse 8,St. Gallen,9000
3001315465,1058.1103.874762.76b09ad5-0b1b-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:09.630704,,1,750,95,655,,,1973,Rorschacherstrasse 50a,St. Gallen,9000
3001368780,1065.1101.885193.f228ff36-1c31-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:09.671597,,1,1130,180,950,,,,Martinsbruggstrasse 59,St. Gallen,9016
3001246726,863663.a0e4315f-f45a-11eb-83fa-005056bdbc06,rent,2021-09-30T14:31:09.755860,,2,1170,180,990,,50,,Achslenweg 8,St. Gallen,9016
3001327102,3935.3001,rent,2021-09-30T14:31:09.804854,,GF,1050,,,,,1920,Kolumbanstrasse 36,St. Gallen,9008
3001172304,f70d4e6b-75f1-11eb-9a3b-005056bdbc06,rent,2021-09-30T14:31:09.833317,,2,1050,,,,68,,Lukasstrasse 3,St. Gallen,9008
3001252594,5690.13.2005,rent,2021-09-30T14:31:09.851161,,2,1160,,,,58,2003,Haggenstr. 56,St. Gallen,9014
3001190574,854424.2e0abf01-dff3-11eb-84f0-005056bdbc06,rent,2021-09-30T14:31:09.908977,,,1100,,,,65,,Hungerbühlerstrasse 1a,St. Gallen,9014
3001101387,1505.06.0340,rent,2021-09-30T14:31:10.041022,,5,1045,,,,82,1986,Rorschacherstrasse 238,St. Gallen,9016
3001337225,6811.15.0101,rent,2021-09-30T14:31:10.096580,,1,1440,,,,88,2020,Bernhardswiesstrasse 34,St. Gallen,9014
3001349858,1011.092021.866785.a3db3f97-faae-11eb-8985-005056bdbc06,rent,2021-09-30T14:31:10.170282,,2,1400,,,,,2016,Fürstenlandstrasse 135,St. Gallen,9014
3001339504,0535,rent,2021-09-30T14:31:10.228298,,GF,1420,,,,90,2020,Hechtackerstrasse 12g,St. Gallen,9014
3001252596,5690.05.2001,rent,2021-09-30T14:31:10.396584,,2,1430,,,,80,2003,Haggenstr. 58,St. Gallen,9014
3001044707,53013.01.0116,rent,2021-09-30T14:31:10.432260,,1,1640,220,1420,,95,1997,Kublystrasse 22 - 23a,St. Gallen,9016
3001321244,7797.05.0101,rent,2021-09-30T14:31:10.543705,,1,1635,280,1355,,90,1968,Oberzilstrasse 6,St. Gallen,9016
3001091170,07439.01.0050,rent,2021-09-30T14:31:10.591056,,1,1620,240,1380,,99,1981,Tablatstr. 12,St. Gallen,9016
3001152558,54427.01.0101,rent,2021-09-30T14:31:10.624250,,1,1600,200,1400,,80,1985,Rorschacher Strasse 277a,St. Gallen,9016
3001312809,5416.12.0041,rent,2021-09-30T14:31:10.688692,,1,1290,,,,94,1967,Zilstrasse 56,St. Gallen,9016
3001334114,8904.21.0103,rent,2021-09-30T14:31:10.720361,,1,1575,240,1335,,93,1995,Zilweg 15,St. Gallen,9016
3001353761,6170.01.0005,rent,2021-09-30T14:31:10.929999,,2,1420,200,1220,,76,1968,Zilstrasse 4,St. Gallen,9016
3001328999,22101.01.10002,rent,2021-09-30T14:31:10.950344,,GF,1350,,,,77,,Schönbüelpark 12,St. Gallen,9016
3001259959,8904.41.0102,rent,2021-09-30T14:31:10.972698,,1,1580,265,1315,,92,1995,Brauerstrasse 81,St. Gallen,9016
3001310133,132501.09.00206,rent,2021-09-30T14:31:11.114477,,2,770,,,,,1965,Rappensteinweg 7,St. Gallen,9000
3001082656,4165.4021,rent,2021-09-30T14:31:11.134371,,2,1070,,,,83,1920,Langgasse 63,St. Gallen,9008
3001369750,20120.4.4062,rent,2021-09-30T14:31:11.158401,,6,1396,170,1226,,61,1981,Tablatstrasse 10c,St. Gallen,9016
3001366184,unusbasic2,rent,2021-09-30T14:31:11.173865,,,790,,,,30,2021,Brauerstrasse 21 / 23,St. Gallen,9000
3001356526,6170.03.0036,rent,2021-09-30T14:31:11.331051,,1,1400,200,1200,,76,1968,Zilstrasse 6,St. Gallen,9016
3001170430,132501.09.00105,rent,2021-09-30T14:31:11.351425,,1,770,,,,,1965,Rappensteinweg 7,St. Gallen,9000
3001233790,861550.09db43ef-ef73-11eb-83fa-005056bdbc06,rent,2021-09-30T14:31:11.479226,,1,950,140,810,,40,,Rorschacher Strasse 183,St. Gallen,9000
3001384071,6811.05.0301,rent,2021-09-30T14:31:11.496980,,3,1440,,,,88,2020,Hechtackerstrasse 12d,St. Gallen,9014
3001362014,6172.03.0201,rent,2021-09-30T14:31:11.533336,,2,750,,,,45,1947,Helvetiastrasse 51 A,St. Gallen,9000
3001347260,4020/010201/25.880118.44fc8d14-1532-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:11.551562,,2,850,,,,62,,Bauhofstrasse 4,St. Gallen,9000
3001347688,880233.38965c7b-1550-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:11.566447,,4,850,,,,26,,Teufener Strasse 10,St. Gallen,9000
3001377056,47644397,rent,2021-09-30T14:31:11.609671,,,620,,,,30,,Zürcherstrasse 240,St. Gallen,9014
3001329780,40892604,rent,2021-09-30T14:31:11.621029,,,1120,,,,70,,Stationsweg 8,St. Gallen,9014
3001316083,06843.02.0208,rent,2021-09-30T14:31:11.641390,,3,2150,,,,171,2005,Heimstr. 12,St. Gallen,9014
3001133982,7797.07.0201,rent,2021-09-30T14:31:11.843866,,2,1690,280,1410,,95,1968,Zilweg 10,St. Gallen,9016
3001346929,41059445,rent,2021-09-30T14:31:11.854756,,,1340,,,,80,,Bernhardswiesstrasse 33,St. Gallen,9014
3001302821,158105.01.00403,rent,2021-09-30T14:31:11.884035,,4,1570,,,,141,1980,Reherstr. 19,St. Gallen,9016
3001346931,38488958,rent,2021-09-30T14:31:11.896662,,,1240,,,,,,Stationstrasse 49,St. Gallen,9014
3001335388,47314856,rent,2021-09-30T14:31:11.918163,,,1500,,,,,,Brauerstrasse 40,St. Gallen,9016
3001260766,28945540,rent,2021-09-30T14:31:11.932859,,,1390,,,,79,,Reherstr.22 c,St. Gallen,9016
3001354292,54427.03.0201,rent,2021-09-30T14:31:11.979510,,2,1820,280,1540,,98,1985,Rorschacher Strasse 277C,St. Gallen,9016
3001316326,9gqwu.ssc5f,rent,2021-09-30T14:31:12.029742,,3,1850,,,,,,Kesselhaldenstrasse 25,St. Gallen,9016
3001336410,5419.09.0047,rent,2021-09-30T14:31:12.044742,,4,1510,,,,103,1979,Zilweg 11,St. Gallen,9016
3001385212,46387355,rent,2021-09-30T14:31:12.059472,,,1560,,,,110,,Martinsbruggstrasse 34,St. Gallen,9016
3001342548,47374447,rent,2021-09-30T14:31:12.131730,,,1250,,,,80,,Hüttenwiesstrasse 9,St. Gallen,9016
3001305223,16482.01.0003,rent,2021-09-30T14:31:12.153557,,GF,870,,,,46,1966,Hafnerstrasse 8,St. Gallen,9000
3001333366,27511.03.0004,rent,2021-09-30T14:31:12.196196,,GF,870,,,,32,2022,Ahornstrasse 23b,St. Gallen,9000
3001352179,A9HNJ3R_22HCU5N,rent,2021-09-30T14:31:12.235398,,3,865,,,,60,,Rappensteinstrasse 7,St. Gallen,9000
3001175690,505.301,rent,2021-09-30T14:31:12.247623,,3,1484,250,1234,,95,1900,Aeplistrasse 5,St. Gallen,9008
3001314341,46235317,rent,2021-09-30T14:31:12.324730,,,990,,,,51,,Rorschacherstrasse 231,St. Gallen,9016
3000821708,864624.769746.092210a0-4915-11eb-a40c-005056bdbc06,rent,2021-09-30T14:31:12.338428,,2,880,,,,,,Teufenerstrasse 146,St. Gallen,9000
3001309858,08058.01.0101,rent,2021-09-30T14:31:12.400996,,GF,1000,110,890,,45,1920,Brühlbleichestrasse 10,St. Gallen,9000
3001285654,Falkensteinstrasse 5 - 2 ZWG.870234.1ded9214-0192-11ec-bf79-005056bdbc06,rent,2021-09-30T14:31:12.422325,,GF,995,220,775,,57,,Falkensteinstrasse 5,St. Gallen,9000
3001285655,SG-Singenbergstrasse8-001.870238.eee50ed6-ef82-11eb-83fa-005056bdbc06,rent,2021-09-30T14:31:12.445838,,3,840,,,,,,Singenbergstrasse 8,St. Gallen,9000
3001219305,859212.e6807ac3-e9ff-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:12.468275,,5,995,140,855,,42,,Burgstrasse 21,St. Gallen,9000
3001192364,Falkensteinstrasse 5 2.OG - 001.779598.087d6254-5bd8-11eb-8230-005056bdbc06,rent,2021-09-30T14:31:12.480771,,GF,775,,,,58,,Falkensteinstrasse 5,St. Gallen,9000
3001331658,4992.1001,rent,2021-09-30T14:31:12.542461,,-1,870,,,,38,,Rorschacherstrasse 165,St. Gallen,9000
3001373894,"SG-Teufenerstrasse 12, 2 ZWG 3.OG-003.886548.3b6587de-1d2b-11ec-842e-005056bdbc06",rent,2021-09-30T14:31:12.576302,,3,900,,,,,,Teufener Strasse 12,St. Gallen,9000
3000700663,4548.01.0101,rent,2021-09-30T14:31:12.594344,,1,740,,,,47,,Teufenerstrasse 62,St. Gallen,9000
3001315318,874727.0b738b2c-0b0f-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:12.618874,,GF,990,140,850,,42,,Burgstrasse 19,St. Gallen,9000
3001029335,4548.01.0202,rent,2021-09-30T14:31:12.649487,,2,790,,,,47,,Teufenerstrasse 62,St. Gallen,9000
3000428258,ZXW251OG9000,rent,2021-09-30T14:31:12.684843,,1,810,,,,,,Teufenerstrasse 88,St. Gallen,9000
3001342543,47371631,rent,2021-09-30T14:31:12.707176,,,1850,,,,,,Kesselhaldenstrasse 25 St. Gallen,St. Gallen,9016
3001307270,983484.873398.110c47e1-08be-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:12.725387,,2,850,,,,,,St. Georgenstrasse 36,St. Gallen,9000
3001374163,47613410,rent,2021-09-30T14:31:12.752312,,,1825,,,,115,,Schönbüelpark 7,St. Gallen,9016
3001382303,47688267,rent,2021-09-30T14:31:12.778789,,,1730,,,,135,,Kesselhaldenstrasse 6,St. Gallen,9016
3001370273,83565.01.0103,rent,2021-09-30T14:31:12.833563,,1,840,,,,36,,Höhenweg 11,St. Gallen,9000
3001258284,46798426,rent,2021-09-30T14:31:12.867981,,,1652,,,,120,,Martinsbruggstrasse 35,St. Gallen,9016
3001136358,5552.goldinger.SM408.1106,rent,2021-09-30T14:31:12.894108,,2,880,,,,,,Fähnernstrasse 3,St. Gallen,9000
3001056540,828934.85c7940b-ae48-11eb-820b-005056bdbc06,rent,2021-09-30T14:31:12.928356,,3,780,,,,,,Brunnenbergstrasse 12,St. Gallen,9000
3001302459,46160687,rent,2021-09-30T14:31:12.950862,,,1630,,,,80,,Rorschacher Strasse 279a,St. Gallen,9016
3001344847,1058.1501.879674.2a4dde99-147f-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:12.987724,,5,1030,140,890,,,1973,Rorschacherstrasse 50a,St. Gallen,9000
3001010961,ZXW25DM9000,rent,2021-09-30T14:31:13.022776,,2,960,,,,,,Teufenerstrasse 88,St. Gallen,9000
3001287409,42105.01.10001,rent,2021-09-30T14:31:13.040962,,GF,950,,,,38,,Burgstrasse 134,St. Gallen,9000
3001330259,2560-9.875828.99a5fe64-0c7b-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:13.064022,,,950,,,,42,2022,Ahornstrasse 60,St. Gallen,9000
3000780700,xupkr.x371g,rent,2021-09-30T14:31:13.122405,,2,1120,150,970,,85,1980,Oberstrasse 123,St. Gallen,9000
3001365731,884419.dca29b65-1ae8-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:13.138098,,4,1100,100,1000,,35,,Linsebühlstrasse 32,St. Gallen,9000
3001378045,31.90.887382.5cde7444-1f7e-11ec-842e-005056bdbc06,rent,2021-09-30T14:31:13.149658,,1,950,,,,45,,Torstrasse 20,St. Gallen,9000
3001146643,142_1_202.800510.10935909-8029-11eb-8e73-005056bdbc06,rent,2021-09-30T14:31:13.173001,,2,900,,,,57,,Paradiesstrasse 29,St. Gallen,9000
3001166251,2016.1.1401,rent,2021-09-30T14:31:13.202856,,4,900,,,,,1931,Schönaustrasse 79,St. Gallen,9000
3001366173,unusgrande2,rent,2021-09-30T14:31:13.252878,,,980,,,,42,2021,Brauerstrasse 21 / 23,St. Gallen,9000
3001372850,195901.01.00001,rent,2021-09-30T14:31:13.264965,,GF,990,,,,40,1934,Winkelriedstr. 17,St. Gallen,9000
3001310138,148101.01.00201,rent,2021-09-30T14:31:13.324107,,2,900,,,,62,1958,St. Georgen-Str. 39,St. Gallen,9000
3001262175,A8879,rent,2021-09-30T14:31:13.338925,,2,900,,,,70,,Burgstrasse 66,St. Gallen,9000
3001002965,011299_1,rent,2021-09-30T14:31:13.378030,,,1090,,,,59,1920,Teufenerstrasse 170,St. Gallen,9000
3001366182,unusgrande,rent,2021-09-30T14:31:13.393305,,,950,,,,36,2021,Brauerstrasse 21 / 23,St. Gallen,9000
3001221053,859518.b5ee3428-ea23-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:13.420487,,1,910,,,,,,Röschstrasse 9,St. Gallen,9000
3000768247,58.2..754267.77e7146c-2f15-11eb-b716-005056bdbc06,rent,2021-09-30T14:31:13.434921,,3,910,,,,,,Röschstr. 9,St. Gallen,9000
3000969216,Helvetiastr 41 06.807929.649217a9-88c4-11eb-a60b-005056bdbc06,rent,2021-09-30T14:31:13.473742,,1,910,,,,45,,Helvetiastrasse 41,St. Gallen,9000
3000883405,114,rent,2021-09-30T14:31:13.513433,,4,855,,,,60,,Zürcher Strasse 70,St. Gallen,9000
3001167228,23037.02.430010,rent,2021-09-30T14:31:13.617607,,3,1307,,,,93,,Langgasse 155,St. Gallen,9008
3001016630,23036.02.410020,rent,2021-09-30T14:31:13.639333,,1,1290,,,,94,,Langgasse 165,St. Gallen,9008
3001154674,23037.02.400020,rent,2021-09-30T14:31:13.660529,,GF,1350,,,,98,,Langgasse 155,St. Gallen,9008
3001183467,9008,rent,2021-09-30T14:31:13.696220,,GF,1440,,,,,,Goethestrasse 24,St. Gallen,9008
3001282742,5648.goldinger.SM98.1110,rent,2021-09-30T14:31:13.740536,,4,840,,,,,,Lämmlisbrunnenstrasse 16,St. Gallen,9000
3001347504,174.70.4im2ogssll,rent,2021-09-30T14:31:13.785988,,2,1340,,,,,,Langgasse 70,St. Gallen,9008
3001347502,174.70.4im2ogg,rent,2021-09-30T14:31:13.802372,,2,1340,,,,,,Langgasse 70,St. Gallen,9008
3001346082,23037.01.400020,rent,2021-09-30T14:31:13.870071,,GF,1310,,,,98,,Langgasse 153,St. Gallen,9008
3001298695,23036.01.410010,rent,2021-09-30T14:31:13.884632,,1,1290,,,,97,,Langgasse 163,St. Gallen,9008
3001371467,162.121b.ssll25im3,rent,2021-09-30T14:31:13.982081,,3,960,,,,,,Teufenerstr. 121 b,St. Gallen,9000
3001347474,158.88.35im2oGesc,rent,2021-09-30T14:31:13.995760,,2,980,,,,,,Teufenerstr. 88,St. Gallen,9000
3001281696,11201.02.10001,rent,2021-09-30T14:31:14.039159,,GF,1050,,,,51,,Oberstrasse 81,St. Gallen,9000
3000872761,3644.03.0002,rent,2021-09-30T14:31:14.057440,,GF,1180,180,1000,,47,1919,Linsebühlstrasse 16,St. Gallen,9000
3001105858,836842.26f5baab-bec8-11eb-bac8-005056bdbc06,rent,2021-09-30T14:31:14.340553,,4,1180,150,1030,,61,,Metallstrasse 12,St. Gallen,9000
3000873652,153401.01.00203,rent,2021-09-30T14:31:14.357015,,2,900,,,,71,1920,Tschudistr. 36,St. Gallen,9000
3001209450,9602.21c,rent,2021-09-30T14:31:14.386540,,2,1008,,,,90,1920,Teufenerstrasse 68,St. Gallen,9000
3001185776,7801.05.0001,rent,2021-09-30T14:31:14.407725,,GF,1170,220,950,,56,1963,Dreilindenhang 10,St. Gallen,9000
3001334788,53420.01.0301,rent,2021-09-30T14:31:14.424714,,3,1030,,,,,1920,Marktplatz 20,St. Gallen,9000
3001327633,08059.01.0103,rent,2021-09-30T14:31:14.474557,,2,1150,140,1010,,47,1920,Linsebühlstrasse 35,St. Gallen,9000
3001284021,A8365,rent,2021-09-30T14:31:14.509802,,,1005,,,,39,,Bürglistrasse 2,St. Gallen,9000
3001055869,Bedastrasse.11.10,rent,2021-09-30T14:31:14.531080,,3,990,,,,45,,Bedastrasse 11,St. Gallen,9000
3001328645,37011.01.420030,rent,2021-09-30T14:31:14.544658,,2,960,,,,60,1920,Badstrasse 8,St. Gallen,9000
3001328644,37011.01.410030,rent,2021-09-30T14:31:14.558729,,1,960,,,,60,1920,Badstrasse 8,St. Gallen,9000
3001292818,258.599.59,rent,2021-09-30T14:31:14.572635,,GF,960,,,,,,Zürcherstrasse 68,St. Gallen,9000
3001371439,162.121b.25im3oggSLL,rent,2021-09-30T14:31:14.702547,,3,960,,,,,,Teufenerstr. 121 b,St. Gallen,9000
3001327306,(6653123),rent,2021-09-30T14:31:14.724084,,GF,1140,160,980,,48,,Glaserstrasse 3A,St. Gallen,9000
3000422289,ZXW2519000,rent,2021-09-30T14:31:14.741258,,1,960,,,,,,Teufenerstrasse 121b,St. Gallen,9000
3001326790,43824090,rent,2021-09-30T14:31:14.771441,,,500,,,,,,Heiligkreuzstrasse 53a,St. Gallen,9008
3001385255,56.951.5,rent,2021-09-30T14:31:14.783573,,1,1430,,,,96,,Langgasse 159,St. Gallen,9008
3001367073,39414342,rent,2021-09-30T14:31:14.797304,,,1190,,,,65,,Langgasse 61,St. Gallen,9008
3001347479,162.121b.25im3ogg,rent,2021-09-30T14:31:14.837712,,3,960,,,,,,Teufenerstr. 121 b,St. Gallen,9000
3001385125,20210818-01.869689.c57b04f4-00b9-11ec-bf79-005056bdbc06,rent,2021-09-30T14:31:14.950496,,,2400,,,,,,Sonnenhaldenstrasse 38,St. Gallen,9008
3001347475,158.88.35im2oGsll,rent,2021-09-30T14:31:14.971232,,2,980,,,,,,Teufenerstr. 88,St. Gallen,9000
3001246535,08083.02.0242,rent,2021-09-30T14:31:14.991294,,4,1820,,,,125,1988,Langgasse 11,St. Gallen,9008
3001295624,5171.05.0104,rent,2021-09-30T14:31:15.008500,,1,2232,342,1890,,134,2012,Langgasse 12,St. Gallen,9008
3001350678,08083.01.0131,rent,2021-09-30T14:31:15.037802,,3,1695,,,,117,1988,Langgasse 9,St. Gallen,9008
3001198152,44.53.4501.680424.b1ec94ce-b076-11ea-97df-005056bdbc06,rent,2021-09-30T14:31:15.063499,,4,2390,250,2140,,127,2017,Heiligkreuzstrasse 53,St. Gallen,9008
3001252875,"SG-Hirtenstrasse 6, 4-ZWG 1.OG links.864915.b6d3c342-f67c-11eb-8985-005056bdbc06",rent,2021-09-30T14:31:15.098087,,1,1740,,,,,,Hirtenstrasse 6,St. Gallen,9008
