date,all,nonregular,regular,week_start,week_end,direction
2021-06-14T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T06:00:00,25,21,,2021-06-14,2021-06-20,inward
2021-06-14T07:00:00,28,,,2021-06-14,2021-06-20,inward
2021-06-14T08:00:00,32,28,,2021-06-14,2021-06-20,inward
2021-06-14T09:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-14T10:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T11:00:00,38,28,,2021-06-14,2021-06-20,inward
2021-06-14T12:00:00,46,38,,2021-06-14,2021-06-20,inward
2021-06-14T13:00:00,28,26,,2021-06-14,2021-06-20,inward
2021-06-14T14:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-14T15:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-14T16:00:00,35,24,,2021-06-14,2021-06-20,inward
2021-06-14T17:00:00,38,25,,2021-06-14,2021-06-20,inward
2021-06-14T18:00:00,47,44,,2021-06-14,2021-06-20,inward
2021-06-14T19:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-14T20:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-14T21:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-14T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T06:00:00,31,27,,2021-06-14,2021-06-20,inward
2021-06-15T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T08:00:00,36,28,,2021-06-14,2021-06-20,inward
2021-06-15T09:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T10:00:00,37,31,,2021-06-14,2021-06-20,inward
2021-06-15T11:00:00,39,35,,2021-06-14,2021-06-20,inward
2021-06-15T12:00:00,55,38,,2021-06-14,2021-06-20,inward
2021-06-15T13:00:00,38,36,,2021-06-14,2021-06-20,inward
2021-06-15T14:00:00,40,33,,2021-06-14,2021-06-20,inward
2021-06-15T15:00:00,38,32,,2021-06-14,2021-06-20,inward
2021-06-15T16:00:00,40,32,,2021-06-14,2021-06-20,inward
2021-06-15T17:00:00,53,34,,2021-06-14,2021-06-20,inward
2021-06-15T18:00:00,40,30,,2021-06-14,2021-06-20,inward
2021-06-15T19:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T20:00:00,29,27,,2021-06-14,2021-06-20,inward
2021-06-15T21:00:00,22,,,2021-06-14,2021-06-20,inward
2021-06-15T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-15T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T07:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-16T08:00:00,32,28,,2021-06-14,2021-06-20,inward
2021-06-16T09:00:00,22,,,2021-06-14,2021-06-20,inward
2021-06-16T10:00:00,34,32,,2021-06-14,2021-06-20,inward
2021-06-16T11:00:00,53,47,,2021-06-14,2021-06-20,inward
2021-06-16T12:00:00,42,38,,2021-06-14,2021-06-20,inward
2021-06-16T13:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-16T14:00:00,36,30,,2021-06-14,2021-06-20,inward
2021-06-16T15:00:00,24,,,2021-06-14,2021-06-20,inward
2021-06-16T16:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-16T17:00:00,79,56,23,2021-06-14,2021-06-20,inward
2021-06-16T18:00:00,116,95,21,2021-06-14,2021-06-20,inward
2021-06-16T19:00:00,93,85,,2021-06-14,2021-06-20,inward
2021-06-16T20:00:00,71,65,,2021-06-14,2021-06-20,inward
2021-06-16T21:00:00,30,28,,2021-06-14,2021-06-20,inward
2021-06-16T22:00:00,23,,,2021-06-14,2021-06-20,inward
2021-06-16T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T08:00:00,23,21,,2021-06-14,2021-06-20,inward
2021-06-17T09:00:00,30,24,,2021-06-14,2021-06-20,inward
2021-06-17T10:00:00,26,22,,2021-06-14,2021-06-20,inward
2021-06-17T11:00:00,43,35,,2021-06-14,2021-06-20,inward
2021-06-17T12:00:00,39,28,,2021-06-14,2021-06-20,inward
2021-06-17T13:00:00,33,26,,2021-06-14,2021-06-20,inward
2021-06-17T14:00:00,37,32,,2021-06-14,2021-06-20,inward
2021-06-17T15:00:00,40,32,,2021-06-14,2021-06-20,inward
2021-06-17T16:00:00,41,33,,2021-06-14,2021-06-20,inward
2021-06-17T17:00:00,44,33,,2021-06-14,2021-06-20,inward
2021-06-17T18:00:00,57,44,,2021-06-14,2021-06-20,inward
2021-06-17T19:00:00,31,25,,2021-06-14,2021-06-20,inward
2021-06-17T20:00:00,25,21,,2021-06-14,2021-06-20,inward
2021-06-17T21:00:00,25,25,,2021-06-14,2021-06-20,inward
2021-06-17T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T08:00:00,43,39,,2021-06-14,2021-06-20,inward
2021-06-18T09:00:00,55,47,,2021-06-14,2021-06-20,inward
2021-06-18T10:00:00,27,25,,2021-06-14,2021-06-20,inward
2021-06-18T11:00:00,37,35,,2021-06-14,2021-06-20,inward
2021-06-18T12:00:00,44,32,,2021-06-14,2021-06-20,inward
2021-06-18T13:00:00,41,34,,2021-06-14,2021-06-20,inward
2021-06-18T14:00:00,40,40,,2021-06-14,2021-06-20,inward
2021-06-18T15:00:00,24,21,,2021-06-14,2021-06-20,inward
2021-06-18T16:00:00,39,33,,2021-06-14,2021-06-20,inward
2021-06-18T17:00:00,47,33,,2021-06-14,2021-06-20,inward
2021-06-18T18:00:00,34,26,,2021-06-14,2021-06-20,inward
2021-06-18T19:00:00,30,25,,2021-06-14,2021-06-20,inward
2021-06-18T20:00:00,41,39,,2021-06-14,2021-06-20,inward
2021-06-18T21:00:00,27,27,,2021-06-14,2021-06-20,inward
2021-06-18T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T08:00:00,25,23,,2021-06-14,2021-06-20,inward
2021-06-19T09:00:00,27,25,,2021-06-14,2021-06-20,inward
2021-06-19T10:00:00,42,40,,2021-06-14,2021-06-20,inward
2021-06-19T11:00:00,37,37,,2021-06-14,2021-06-20,inward
2021-06-19T12:00:00,38,34,,2021-06-14,2021-06-20,inward
2021-06-19T13:00:00,57,51,,2021-06-14,2021-06-20,inward
2021-06-19T14:00:00,39,36,,2021-06-14,2021-06-20,inward
2021-06-19T15:00:00,31,28,,2021-06-14,2021-06-20,inward
2021-06-19T16:00:00,37,35,,2021-06-14,2021-06-20,inward
2021-06-19T17:00:00,29,29,,2021-06-14,2021-06-20,inward
2021-06-19T18:00:00,26,24,,2021-06-14,2021-06-20,inward
2021-06-19T19:00:00,32,32,,2021-06-14,2021-06-20,inward
2021-06-19T20:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T21:00:00,25,23,,2021-06-14,2021-06-20,inward
2021-06-19T22:00:00,34,32,,2021-06-14,2021-06-20,inward
2021-06-19T23:00:00,22,22,,2021-06-14,2021-06-20,inward
2021-06-20T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T08:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T09:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T10:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T11:00:00,22,22,,2021-06-14,2021-06-20,inward
2021-06-20T12:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T13:00:00,25,23,,2021-06-14,2021-06-20,inward
2021-06-20T14:00:00,24,24,,2021-06-14,2021-06-20,inward
2021-06-20T15:00:00,26,25,,2021-06-14,2021-06-20,inward
2021-06-20T16:00:00,41,38,,2021-06-14,2021-06-20,inward
2021-06-20T17:00:00,69,65,,2021-06-14,2021-06-20,inward
2021-06-20T18:00:00,21,,,2021-06-14,2021-06-20,inward
2021-06-20T19:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T20:00:00,22,22,,2021-06-14,2021-06-20,inward
2021-06-20T21:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-14T00:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T06:00:00,29,,,2021-06-14,2021-06-20,outward
2021-06-14T07:00:00,57,35,21,2021-06-14,2021-06-20,outward
2021-06-14T08:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T09:00:00,27,21,,2021-06-14,2021-06-20,outward
2021-06-14T10:00:00,21,,,2021-06-14,2021-06-20,outward
2021-06-14T11:00:00,37,24,,2021-06-14,2021-06-20,outward
2021-06-14T12:00:00,44,35,,2021-06-14,2021-06-20,outward
2021-06-14T13:00:00,29,29,,2021-06-14,2021-06-20,outward
2021-06-14T14:00:00,30,26,,2021-06-14,2021-06-20,outward
2021-06-14T15:00:00,25,21,,2021-06-14,2021-06-20,outward
2021-06-14T16:00:00,37,33,,2021-06-14,2021-06-20,outward
2021-06-14T17:00:00,23,21,,2021-06-14,2021-06-20,outward
2021-06-14T18:00:00,24,22,,2021-06-14,2021-06-20,outward
2021-06-14T19:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T20:00:00,27,27,,2021-06-14,2021-06-20,outward
2021-06-14T21:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T22:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-14T23:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T00:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T06:00:00,29,22,,2021-06-14,2021-06-20,outward
2021-06-15T07:00:00,34,21,,2021-06-14,2021-06-20,outward
2021-06-15T08:00:00,22,,,2021-06-14,2021-06-20,outward
2021-06-15T09:00:00,39,33,,2021-06-14,2021-06-20,outward
2021-06-15T10:00:00,30,25,,2021-06-14,2021-06-20,outward
2021-06-15T11:00:00,33,24,,2021-06-14,2021-06-20,outward
2021-06-15T12:00:00,43,33,,2021-06-14,2021-06-20,outward
2021-06-15T13:00:00,53,37,,2021-06-14,2021-06-20,outward
2021-06-15T14:00:00,31,27,,2021-06-14,2021-06-20,outward
2021-06-15T15:00:00,25,,,2021-06-14,2021-06-20,outward
2021-06-15T16:00:00,35,27,,2021-06-14,2021-06-20,outward
2021-06-15T17:00:00,29,23,,2021-06-14,2021-06-20,outward
2021-06-15T18:00:00,24,24,,2021-06-14,2021-06-20,outward
2021-06-15T19:00:00,27,24,,2021-06-14,2021-06-20,outward
2021-06-15T20:00:00,26,22,,2021-06-14,2021-06-20,outward
2021-06-15T21:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T22:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-15T23:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T00:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T06:00:00,29,,,2021-06-14,2021-06-20,outward
2021-06-16T07:00:00,34,22,,2021-06-14,2021-06-20,outward
2021-06-16T08:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-16T09:00:00,43,36,,2021-06-14,2021-06-20,outward
2021-06-16T10:00:00,37,33,,2021-06-14,2021-06-20,outward
2021-06-16T11:00:00,34,32,,2021-06-14,2021-06-20,outward
2021-06-16T12:00:00,43,37,,2021-06-14,2021-06-20,outward
2021-06-16T13:00:00,27,27,,2021-06-14,2021-06-20,outward
2021-06-16T14:00:00,37,33,,2021-06-14,2021-06-20,outward
2021-06-16T15:00:00,33,28,,2021-06-14,2021-06-20,outward
2021-06-16T16:00:00,25,,,2021-06-14,2021-06-20,outward
2021-06-16T17:00:00,50,42,,2021-06-14,2021-06-20,outward
2021-06-16T18:00:00,36,34,,2021-06-14,2021-06-20,outward
2021-06-16T19:00:00,39,38,,2021-06-14,2021-06-20,outward
2021-06-16T20:00:00,29,27,,2021-06-14,2021-06-20,outward
2021-06-16T21:00:00,29,25,,2021-06-14,2021-06-20,outward
2021-06-16T22:00:00,118,109,,2021-06-14,2021-06-20,outward
2021-06-16T23:00:00,83,77,,2021-06-14,2021-06-20,outward
2021-06-17T00:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T06:00:00,34,23,,2021-06-14,2021-06-20,outward
2021-06-17T07:00:00,35,,,2021-06-14,2021-06-20,outward
2021-06-17T08:00:00,31,27,,2021-06-14,2021-06-20,outward
2021-06-17T09:00:00,32,30,,2021-06-14,2021-06-20,outward
2021-06-17T10:00:00,24,23,,2021-06-14,2021-06-20,outward
2021-06-17T11:00:00,26,26,,2021-06-14,2021-06-20,outward
2021-06-17T12:00:00,51,40,,2021-06-14,2021-06-20,outward
2021-06-17T13:00:00,37,35,,2021-06-14,2021-06-20,outward
2021-06-17T14:00:00,30,26,,2021-06-14,2021-06-20,outward
2021-06-17T15:00:00,39,36,,2021-06-14,2021-06-20,outward
2021-06-17T16:00:00,35,26,,2021-06-14,2021-06-20,outward
2021-06-17T17:00:00,28,26,,2021-06-14,2021-06-20,outward
2021-06-17T18:00:00,34,32,,2021-06-14,2021-06-20,outward
2021-06-17T19:00:00,34,34,,2021-06-14,2021-06-20,outward
2021-06-17T20:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T21:00:00,41,33,,2021-06-14,2021-06-20,outward
2021-06-17T22:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-17T23:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T00:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T06:00:00,38,29,,2021-06-14,2021-06-20,outward
2021-06-18T07:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T08:00:00,24,,,2021-06-14,2021-06-20,outward
2021-06-18T09:00:00,35,33,,2021-06-14,2021-06-20,outward
2021-06-18T10:00:00,62,60,,2021-06-14,2021-06-20,outward
2021-06-18T11:00:00,32,26,,2021-06-14,2021-06-20,outward
2021-06-18T12:00:00,42,30,,2021-06-14,2021-06-20,outward
2021-06-18T13:00:00,37,33,,2021-06-14,2021-06-20,outward
2021-06-18T14:00:00,46,40,,2021-06-14,2021-06-20,outward
2021-06-18T15:00:00,45,41,,2021-06-14,2021-06-20,outward
2021-06-18T16:00:00,37,32,,2021-06-14,2021-06-20,outward
2021-06-18T17:00:00,29,28,,2021-06-14,2021-06-20,outward
2021-06-18T18:00:00,34,32,,2021-06-14,2021-06-20,outward
2021-06-18T19:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T20:00:00,27,27,,2021-06-14,2021-06-20,outward
2021-06-18T21:00:00,24,24,,2021-06-14,2021-06-20,outward
2021-06-18T22:00:00,37,35,,2021-06-14,2021-06-20,outward
2021-06-18T23:00:00,27,27,,2021-06-14,2021-06-20,outward
2021-06-19T00:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T06:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T07:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T08:00:00,23,,,2021-06-14,2021-06-20,outward
2021-06-19T09:00:00,48,41,,2021-06-14,2021-06-20,outward
2021-06-19T10:00:00,37,37,,2021-06-14,2021-06-20,outward
2021-06-19T11:00:00,53,53,,2021-06-14,2021-06-20,outward
2021-06-19T12:00:00,52,46,,2021-06-14,2021-06-20,outward
2021-06-19T13:00:00,45,40,,2021-06-14,2021-06-20,outward
2021-06-19T14:00:00,42,38,,2021-06-14,2021-06-20,outward
2021-06-19T15:00:00,40,34,,2021-06-14,2021-06-20,outward
2021-06-19T16:00:00,24,22,,2021-06-14,2021-06-20,outward
2021-06-19T17:00:00,29,21,,2021-06-14,2021-06-20,outward
2021-06-19T18:00:00,28,26,,2021-06-14,2021-06-20,outward
2021-06-19T19:00:00,23,23,,2021-06-14,2021-06-20,outward
2021-06-19T20:00:00,29,29,,2021-06-14,2021-06-20,outward
2021-06-19T21:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T22:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T23:00:00,31,31,,2021-06-14,2021-06-20,outward
2021-06-20T00:00:00,39,37,,2021-06-14,2021-06-20,outward
2021-06-20T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T06:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T07:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T08:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T09:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T10:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T11:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T12:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T13:00:00,30,30,,2021-06-14,2021-06-20,outward
2021-06-20T14:00:00,31,31,,2021-06-14,2021-06-20,outward
2021-06-20T15:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T16:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T17:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T18:00:00,31,29,,2021-06-14,2021-06-20,outward
2021-06-20T19:00:00,35,33,,2021-06-14,2021-06-20,outward
2021-06-20T20:00:00,62,56,,2021-06-14,2021-06-20,outward
2021-06-20T21:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T22:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T23:00:00,,,,2021-06-14,2021-06-20,outward
